script,dataset,property,defense,defend_scope,defend_side,adaptive_noise,curriculum,warmup_epochs,norm_threshold,sigma_low,sigma_high,d_para,out_para,use_MR,use_LR,seed,epoch,victim_norm_raw,victim_norm_obs,victim_norm_raw_med,sigma_mean,sigma_frac_high
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,1,14,3.588373,3.588373,3.599336,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,1,15,3.612079,3.612079,3.618581,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,1,16,3.628973,3.628973,3.633096,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,1,17,3.641120,3.641120,3.643640,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,1,18,3.650763,3.650763,3.649511,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,1,19,3.658047,3.658047,3.653910,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,2,0,0.969719,0.969719,0.968945,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,2,1,1.046242,1.046242,1.043528,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,2,2,1.178760,1.178760,1.170208,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,2,3,1.499712,1.499712,1.505091,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,2,4,1.931495,1.931495,1.972936,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,2,5,2.283959,2.283959,2.340108,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,2,6,2.498203,2.498203,2.536715,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,2,7,2.637957,2.637957,2.668292,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,2,8,2.734796,2.734796,2.761075,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,2,9,2.805860,2.805860,2.826144,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,2,10,2.857080,2.857080,2.876203,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,2,11,2.894815,2.894815,2.911403,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,2,12,2.926539,2.926539,2.940575,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,2,13,2.950595,2.950595,2.964629,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,2,14,2.968662,2.968662,2.978896,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,2,15,2.981484,2.981484,2.988411,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,2,16,2.990007,2.990007,2.994751,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,2,17,2.997010,2.997010,3.002697,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,2,18,3.002167,3.002167,3.007113,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,2,19,3.005480,3.005480,3.009345,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,3,0,0.552401,0.552401,0.553132,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,3,1,0.578587,0.578587,0.580029,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,3,2,0.648684,0.648684,0.648430,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,3,3,0.839737,0.839737,0.837741,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,3,4,1.197582,1.197582,1.214389,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,3,5,1.666180,1.666180,1.712408,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,3,6,2.086151,2.086151,2.148648,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,3,7,2.354308,2.354308,2.419600,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,3,8,2.516365,2.516365,2.581054,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,3,9,2.622764,2.622764,2.683843,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,3,10,2.702315,2.702315,2.757173,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,3,11,2.761705,2.761705,2.809309,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,3,12,2.802763,2.802763,2.846145,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,3,13,2.832685,2.832685,2.873358,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,3,14,2.852585,2.852585,2.889731,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,3,15,2.864959,2.864959,2.900132,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,3,16,2.873049,2.873049,2.907344,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,3,17,2.877352,2.877352,2.911463,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,3,18,2.877692,2.877692,2.909490,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,3,19,2.875227,2.875227,2.903879,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,4,0,1.210228,1.210228,1.207638,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,4,1,1.195110,1.195110,1.193425,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,4,2,1.203782,1.203782,1.201912,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,4,3,1.223772,1.223772,1.220668,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,4,4,1.277166,1.277166,1.275026,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,4,5,1.426070,1.426070,1.421211,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,4,6,1.708151,1.708151,1.691348,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,4,7,2.050288,2.050288,2.036582,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,4,8,2.300984,2.300984,2.294293,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,4,9,2.446415,2.446415,2.437597,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,4,10,2.542450,2.542450,2.531318,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,4,11,2.615079,2.615079,2.604414,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,4,12,2.677091,2.677091,2.661681,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,4,13,2.729854,2.729854,2.711511,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,4,14,2.773717,2.773717,2.754050,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,4,15,2.812507,2.812507,2.791506,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,4,16,2.844974,2.844974,2.822876,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,4,17,2.872433,2.872433,2.850164,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,4,18,2.894494,2.894494,2.873354,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,4,19,2.913565,2.913565,2.893068,0.000000,0.0000
