dataset,batch_size,learning_rate,momentum,weight_decay,gamma,decay_period,gpu,epochs,seed,k,model,use_project_head,norm_type,save_feat,sampling_size,select_size,attack_epoch,interpolate,classifier,property,attack_feat,begin_range,end_range,target_num,defense,d_para,d_para2,out_para,defend_scope,defend_side,adaptive_noise,norm_threshold,sigma_low,sigma_high,sigma_alpha,curriculum,warmup_epochs,val_ratio,aligned,n_seeds,log_norms,out_csv,device,accuracy,auc,precision,recall,gnd_frac,pred_frac,used_time
adult,64,0.01,0.0,3e-05,0.97,1,0,20,0,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,b_output,0,100,100,withdraw,0.5,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,0,res_s1_adult.csv,cuda,0.8362,0.8948,0.6634,0.6468,0.4965,0.4502,7
adult,64,0.01,0.0,3e-05,0.97,1,0,20,0,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,a_grad,0,100,100,withdraw,0.5,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,0,res_s1_adult.csv,cuda,0.8362,0.8948,0.6634,0.6468,0.4965,0.4409,7
adult,64,0.01,0.0,3e-05,0.97,1,0,20,0,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,a_output,0,100,100,withdraw,0.5,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,0,res_s1_adult.csv,cuda,0.8362,0.8948,0.6634,0.6468,0.4965,0.4994,6
adult,64,0.01,0.0,3e-05,0.97,1,0,20,0,3,mlp2,1,1,0,2000,0,18,200,en-XGB,sex,all,0,100,100,withdraw,0.5,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,0,res_s1_adult.csv,cuda,0.8362,0.8948,0.6634,0.6468,0.4965,0.4686,32
adult,64,0.01,0.0,3e-05,0.97,1,0,20,1,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,b_grad,0,100,100,withdraw,0.5,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,0,res_s1_adult.csv,cuda,0.8382,0.8964,0.6818,0.6130,0.4965,0.4825,7
adult,64,0.01,0.0,3e-05,0.97,1,0,20,1,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,b_output,0,100,100,withdraw,0.5,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,0,res_s1_adult.csv,cuda,0.8382,0.8964,0.6818,0.6130,0.4965,0.4963,7
adult,64,0.01,0.0,3e-05,0.97,1,0,20,1,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,a_grad,0,100,100,withdraw,0.5,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,0,res_s1_adult.csv,cuda,0.8382,0.8964,0.6818,0.6130,0.4965,0.4922,7
adult,64,0.01,0.0,3e-05,0.97,1,0,20,1,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,a_output,0,100,100,withdraw,0.5,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,0,res_s1_adult.csv,cuda,0.8382,0.8964,0.6818,0.6130,0.4965,0.5017,6
adult,64,0.01,0.0,3e-05,0.97,1,0,20,1,3,mlp2,1,1,0,2000,0,18,200,en-XGB,sex,all,0,100,100,withdraw,0.5,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,0,res_s1_adult.csv,cuda,0.8382,0.8964,0.6818,0.6130,0.4965,0.4917,32
adult,64,0.01,0.0,3e-05,0.97,1,0,20,2,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,b_grad,0,100,100,withdraw,0.5,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,0,res_s1_adult.csv,cuda,0.8393,0.8973,0.6836,0.6174,0.4965,0.4778,7
adult,64,0.01,0.0,3e-05,0.97,1,0,20,2,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,b_output,0,100,100,withdraw,0.5,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,0,res_s1_adult.csv,cuda,0.8393,0.8973,0.6836,0.6174,0.4965,0.4701,8
adult,64,0.01,0.0,3e-05,0.97,1,0,20,2,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,a_grad,0,100,100,withdraw,0.5,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,0,res_s1_adult.csv,cuda,0.8393,0.8973,0.6836,0.6174,0.4965,0.4939,7
adult,64,0.01,0.0,3e-05,0.97,1,0,20,2,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,a_output,0,100,100,withdraw,0.5,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,0,res_s1_adult.csv,cuda,0.8393,0.8973,0.6836,0.6174,0.4965,0.4804,6
adult,64,0.01,0.0,3e-05,0.97,1,0,20,2,3,mlp2,1,1,0,2000,0,18,200,en-XGB,sex,all,0,100,100,withdraw,0.5,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,0,res_s1_adult.csv,cuda,0.8393,0.8973,0.6836,0.6174,0.4965,0.4848,28
adult,64,0.01,0.0,3e-05,0.97,1,0,20,3,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,b_grad,0,100,100,withdraw,0.5,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,0,res_s1_adult.csv,cuda,0.8377,0.8973,0.6865,0.5983,0.4965,0.5191,7
adult,64,0.01,0.0,3e-05,0.97,1,0,20,3,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,b_output,0,100,100,withdraw,0.5,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,0,res_s1_adult.csv,cuda,0.8377,0.8973,0.6865,0.5983,0.4965,0.5237,8
adult,64,0.01,0.0,3e-05,0.97,1,0,20,3,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,a_grad,0,100,100,withdraw,0.5,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,0,res_s1_adult.csv,cuda,0.8377,0.8973,0.6865,0.5983,0.4965,0.4950,7
adult,64,0.01,0.0,3e-05,0.97,1,0,20,3,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,a_output,0,100,100,withdraw,0.5,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,0,res_s1_adult.csv,cuda,0.8377,0.8973,0.6865,0.5983,0.4965,0.5036,6
adult,64,0.01,0.0,3e-05,0.97,1,0,20,3,3,mlp2,1,1,0,2000,0,18,200,en-XGB,sex,all,0,100,100,withdraw,0.5,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,0,res_s1_adult.csv,cuda,0.8377,0.8973,0.6865,0.5983,0.4965,0.5122,32
